colony_id,day,alates,male,female,unidentified,cumulative_alate,flight,alate_fraction,end,ave_temp,max_temp,min_temp
col-3,2,0,0,0,0,0,0,0,0,7.0625,12.5,3
col-3,3,0,0,0,0,0,0,0,0,3.479167,9,0
col-3,4,0,0,0,0,0,0,0,0,6.166667,20,-2
col-3,5,0,0,0,0,0,0,0,0,10.1875,19.5,5.5
col-3,6,0,0,0,0,0,0,0,0,4.833333,12,-1
col-3,7,0,0,0,0,0,0,0,0,6.041667,18.5,-1.5
col-3,8,0,0,0,0,0,0,0,0,7.625,23.5,-0.5
col-3,9,303,163,140,0,303,1,0.793193717,0,5.3125,22.5,-1.5
col-3,10,0,0,0,0,303,0,0,0,5.25,19.5,-3.5
col-3,11,1,0,0,1,304,1,0.002617801,0,7.6875,26,-2.5
col-3,12,0,0,0,0,304,0,0,0,10.895833,24.5,5.5
col-3,13,0,0,0,0,304,0,0,0,8.208333,17,0.5
col-3,14,1,0,1,0,305,1,0.002617801,0,9.354167,31,-1
col-3,15,77,41,36,0,382,1,0.201570681,0,11.208333,33.5,-1
col-3,16,0,0,0,0,382,0,0,1,10.541667,22,4
col-3,17,0,0,0,0,382,0,0,1,6.833333,26.5,-0.5
col-3,18,0,0,0,0,382,0,0,1,6.354167,29,-3.5
col-3,19,0,0,0,0,382,0,0,1,6.5625,28.5,-3.5
col-3,20,0,0,0,0,382,0,0,1,6.3125,18,-1
col-3,21,0,0,0,0,382,0,0,1,6.958333,26,-1
col-3,22,0,0,0,0,382,0,0,1,8.145833,32,-1
col-3,23,0,0,0,0,382,0,0,1,11.083333,23,2.5
col-3,24,0,0,0,0,382,0,0,1,10.125,32,3
col-3,25,0,0,0,0,382,0,0,1,7.708333,24.5,1.5
col-3,26,0,0,0,0,382,0,0,1,9.520833,29,2.5
col-3,27,0,0,0,0,382,0,0,1,9.854167,21,1
col-3,28,0,0,0,0,382,0,0,1,11.166667,31,0.5
col-3,29,0,0,0,0,382,0,0,1,12.666667,33.5,0
col-3,30,0,0,0,0,382,0,0,1,16.5,37,3
col-3,31,0,0,0,0,382,0,0,1,10.75,15.5,8
col-3,32,0,0,0,0,382,0,0,1,12.604167,25.5,5.5
col-3,33,0,0,0,0,382,0,0,1,12.416667,29.5,4
col-3,34,0,0,0,0,382,0,0,1,11.8125,29.5,3
col-3,35,0,0,0,0,382,0,0,1,12.729167,37.5,1
col-3,36,0,0,0,0,382,0,0,1,11.520833,23.5,3.5
col-3,37,0,0,0,0,382,0,0,1,13.145833,28.5,3.5
col-3,38,0,0,0,0,382,0,0,1,14.666667,33,0.5
col-3,39,0,0,0,0,382,0,0,1,16.958333,41.5,2.5
col-3,40,0,0,0,0,382,0,0,1,20.041667,44.5,8
col-4,1,0,0,0,0,0,0,0,0,4.666667,13,-1.5
col-4,2,0,0,0,0,0,0,0,0,7.0625,12.5,3
col-4,3,0,0,0,0,0,0,0,0,3.479167,9,0
col-4,4,0,0,0,0,0,0,0,0,6.166667,20,-2
col-4,5,0,0,0,0,0,0,0,0,10.1875,19.5,5.5
col-4,6,0,0,0,0,0,0,0,0,4.833333,12,-1
col-4,7,0,0,0,0,0,0,0,0,6.041667,18.5,-1.5
col-4,8,0,0,0,0,0,0,0,0,7.625,23.5,-0.5
col-4,9,0,0,0,0,0,0,0,0,5.3125,22.5,-1.5
col-4,10,0,0,0,0,0,0,0,0,5.25,19.5,-3.5
col-4,11,0,0,0,0,0,0,0,0,7.6875,26,-2.5
col-4,12,0,0,0,0,0,0,0,0,10.895833,24.5,5.5
col-4,13,0,0,0,0,0,0,0,0,8.208333,17,0.5
col-4,14,0,0,0,0,0,0,0,0,9.354167,31,-1
col-4,15,0,0,0,0,0,0,0,0,11.208333,33.5,-1
col-4,16,0,0,0,0,0,0,0,0,10.541667,22,4
col-4,17,0,0,0,0,0,0,0,0,6.833333,26.5,-0.5
col-4,18,0,0,0,0,0,0,0,0,6.354167,29,-3.5
col-4,19,0,0,0,0,0,0,0,0,6.5625,28.5,-3.5
col-4,20,0,0,0,0,0,0,0,0,6.3125,18,-1
col-4,21,0,0,0,0,0,0,0,0,6.958333,26,-1
col-4,22,0,0,0,0,0,0,0,0,8.145833,32,-1
col-4,23,0,0,0,0,0,0,0,0,11.083333,23,2.5
col-4,24,0,0,0,0,0,0,0,0,10.125,32,3
col-4,25,0,0,0,0,0,0,0,0,7.708333,24.5,1.5
col-4,26,0,0,0,0,0,0,0,0,9.520833,29,2.5
col-4,27,0,0,0,0,0,0,0,0,9.854167,21,1
col-4,28,0,0,0,0,0,0,0,0,11.166667,31,0.5
col-4,29,0,0,0,0,0,0,0,0,12.666667,33.5,0
col-4,30,2431,1407,1024,0,2431,1,0.99917797,0,16.5,37,3
col-4,31,0,0,0,0,2431,0,0,0,10.75,15.5,8
col-4,32,0,0,0,0,2431,0,0,0,12.604167,25.5,5.5
col-4,33,0,0,0,0,2431,0,0,0,12.416667,29.5,4
col-4,34,0,0,0,0,2431,0,0,0,11.8125,29.5,3
col-4,35,0,0,0,0,2431,0,0,0,12.729167,37.5,1
col-4,36,2,2,0,0,2433,1,0.00082203,0,11.520833,23.5,3.5
col-4,37,0,0,0,0,2433,0,0,1,13.145833,28.5,3.5
col-4,38,0,0,0,0,2433,0,0,1,14.666667,33,0.5
col-4,39,0,0,0,0,2433,0,0,1,16.958333,41.5,2.5
col-4,40,0,0,0,0,2433,0,0,1,20.041667,44.5,8
col-5,1,0,0,0,0,0,0,0,0,4.666667,13,-1.5
col-5,2,0,0,0,0,0,0,0,0,7.0625,12.5,3
col-5,3,0,0,0,0,0,0,0,0,3.479167,9,0
col-5,4,0,0,0,0,0,0,0,0,6.166667,20,-2
col-5,5,0,0,0,0,0,0,0,0,10.1875,19.5,5.5
col-5,6,0,0,0,0,0,0,0,0,4.833333,12,-1
col-5,7,0,0,0,0,0,0,0,0,6.041667,18.5,-1.5
col-5,8,0,0,0,0,0,0,0,0,7.625,23.5,-0.5
col-5,9,0,0,0,0,0,0,0,0,5.3125,22.5,-1.5
col-5,10,0,0,0,0,0,0,0,0,5.25,19.5,-3.5
col-5,11,0,0,0,0,0,0,0,0,7.6875,26,-2.5
col-5,12,0,0,0,0,0,0,0,0,10.895833,24.5,5.5
col-5,13,0,0,0,0,0,0,0,0,8.208333,17,0.5
col-5,14,4,2,2,0,4,1,0.222222222,0,9.354167,31,-1
col-5,15,0,0,0,0,4,0,0,0,11.208333,33.5,-1
col-5,16,0,0,0,0,4,0,0,0,10.541667,22,4
col-5,17,0,0,0,0,4,0,0,0,6.833333,26.5,-0.5
col-5,18,0,0,0,0,4,0,0,0,6.354167,29,-3.5
col-5,19,0,0,0,0,4,0,0,0,6.5625,28.5,-3.5
col-5,20,0,0,0,0,4,0,0,0,6.3125,18,-1
col-5,21,0,0,0,0,4,0,0,0,6.958333,26,-1
col-5,22,0,0,0,0,4,0,0,0,8.145833,32,-1
col-5,23,0,0,0,0,4,0,0,0,11.083333,23,2.5
col-5,24,0,0,0,0,4,0,0,0,10.125,32,3
col-5,25,0,0,0,0,4,0,0,0,7.708333,24.5,1.5
col-5,26,0,0,0,0,4,0,0,0,9.520833,29,2.5
col-5,27,0,0,0,0,4,0,0,0,9.854167,21,1
col-5,28,0,0,0,0,4,0,0,0,11.166667,31,0.5
col-5,29,4,3,1,0,8,1,0.222222222,0,12.666667,33.5,0
col-5,30,0,0,0,0,8,0,0,0,16.5,37,3
col-5,31,0,0,0,0,8,0,0,0,10.75,15.5,8
col-5,32,0,0,0,0,8,0,0,0,12.604167,25.5,5.5
col-5,33,0,0,0,0,8,0,0,0,12.416667,29.5,4
col-5,34,0,0,0,0,8,0,0,0,11.8125,29.5,3
col-5,35,0,0,0,0,8,0,0,0,12.729167,37.5,1
col-5,36,10,2,8,0,18,1,0.555555556,0,11.520833,23.5,3.5
col-5,37,0,0,0,0,18,0,0,1,13.145833,28.5,3.5
col-5,38,0,0,0,0,18,0,0,1,14.666667,33,0.5
col-5,39,0,0,0,0,18,0,0,1,16.958333,41.5,2.5
col-5,40,0,0,0,0,18,0,0,1,20.041667,44.5,8
col-6,1,0,0,0,0,0,0,0,0,4.666667,13,-1.5
col-6,2,0,0,0,0,0,0,0,0,7.0625,12.5,3
col-6,3,0,0,0,0,0,0,0,0,3.479167,9,0
col-6,4,0,0,0,0,0,0,0,0,6.166667,20,-2
col-6,5,0,0,0,0,0,0,0,0,10.1875,19.5,5.5
col-6,6,0,0,0,0,0,0,0,0,4.833333,12,-1
col-6,7,0,0,0,0,0,0,0,0,6.041667,18.5,-1.5
col-6,8,0,0,0,0,0,0,0,0,7.625,23.5,-0.5
col-6,9,0,0,0,0,0,0,0,0,5.3125,22.5,-1.5
col-6,10,0,0,0,0,0,0,0,0,5.25,19.5,-3.5
col-6,11,0,0,0,0,0,0,0,0,7.6875,26,-2.5
col-6,12,0,0,0,0,0,0,0,0,10.895833,24.5,5.5
col-6,13,0,0,0,0,0,0,0,0,8.208333,17,0.5
col-6,14,0,0,0,0,0,0,0,0,9.354167,31,-1
col-6,15,39,19,20,0,39,1,0.060278207,0,11.208333,33.5,-1
